Gene	R16	R24	R30	L16	L24	L30	Annotation
Ha412HOChr05g00015310	****	****	ns	****	****	ns	No TAIR Homolog
Ha412HOChr05g00015311	ns	ns	*	ns	ns	ns	The gene encodes a cytochrome P450 enzyme, CYP82C. It is involved in the early Fe deficiency response.CYP82C4 hydroxylates fraxetin to generate sideretin (5-hydroxyfraxetin). Fraxetin and sideretin are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015330	*	ns	ns	****	ns	ns	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
Ha412HOChr05g00015365	ns	ns	ns	***	****	****	Encodes a protein with 4-Diphosphocytidyl-2C-methyl-D-erythritol synthase activity. The enzyme has an absolute requirement for divalent cations (Mg2+ reaches the highest catalytic activity).
Ha412HOChr05g00015367	ns	****	****	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00015368	*	****	****	ns	ns	ns	Ankyrin repeat family protein;(source:Araport11)
Ha412HOChr05g00015375	ns	ns	****	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00015388	*	****	****	ns	ns	ns	phosphoribosylaminoimidazole carboxylase, putative / AIR carboxylase;(source:Araport11)
Ha412HOChr05g00015390	*	****	ns	****	***	***	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
Ha412HOChr05g00015391	**	ns	ns	*	ns	ns	ATP-dependent helicase/nuclease subunit;(source:Araport11)
Ha412HOChr05g00015396	ns	*	***	ns	ns	*	Encodes a DNA mismatch repair homolog of human MutS gene, MSH6. MSH2 is involved in maintaining genome stability and repressing recombination of mismatched heteroduplexes.There are four MutS genes in Arabidopsis, MSH2, MSH3, MSH6, and MSH7, which all act as heterodimers and bind to 51-mer duplexes. MSH2 has different binding specificity to different mismatches in combination with MSH3, MSH6, or MSH7.
Ha412HOChr05g00015407	****	***	***	*	****	***	Encodes a protein that enables protochlorophillide's binding to pPORA's transit sequence, regulating pPORA's translocation into the plastid stroma, and blocking movement of the translocating polypeptide chain back into the cytosol. Causes Bax mediated lethality in yeast by generating reactive oxygen species and this effect is suppressed by AtBI-1.
Ha412HOChr05g00015412	***	****	****	ns	ns	*	Encodes a putative protease SppA (SppA).
Ha412HOChr05g00015416	****	****	****	ns	****	****	No TAIR Homolog
Ha412HOChr05g00015424	****	****	****	*	***	ns	squalene epoxidase 3;(source:Araport11)
Ha412HOChr05g00015428	ns	ns	ns	*	*	ns	beta-glucosidase 45;(source:Araport11)
Ha412HOChr05g00015439	**	****	ns	*	****	**	GF14 protein phi chain member of 14-3-3 protein family. This protein is reported to interact with the BZR1 transcription factor involved in brassinosteroid signaling and may affect the nucleocytoplasmic shuttling of BZR1 The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015441	ns	*	ns	*	****	****	Encodes a candidate G-protein Coupled Receptor that is involved in the regulation of root growth by bacterial N-acyl-homoserine lactones (AHLs) and plays a role in mediating interactions between plants and microbes.
Ha412HOChr05g00015450	****	*	**	****	*	ns	Leucine-rich repeat protein kinase family protein;(source:Araport11)
Ha412HOChr05g00015458	ns	*	*	****	ns	***	No TAIR Homolog
Ha412HOChr05g00015459	ns	*	**	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00015467	*	****	****	ns	ns	ns	PPPDE putative thiol peptidase family protein;(source:Araport11)
Ha412HOChr05g00015472	****	***	****	ns	****	****	Encodes a member of the thioredoxin family protein.  Located in the chloroplast.  Shows high activity towards the chloroplast 2-Cys peroxiredoxin A, and poor activity towards the chloroplast NADP-malate   dehydrogenase. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015474	***	ns	*	***	ns	ns	Encodes a member of the MIKC (MADS box, Keratin binding domain, and C terminal domain containing )family of transcriptional regulators. AGL65 is expressed in pollen.It forms heterodimers with other MICK family members (AGL104). Involved in late stages of pollen development and pollen tube growth.
Ha412HOChr05g00015477	**	ns	***	ns	ns	ns	transmembrane protein;(source:Araport11)
Ha412HOChr05g00015479	****	****	****	****	****	****	Encodes ClpB4, which belongs to the Casein lytic proteinase/heat shock protein 100 (Clp/Hsp100) family.  Targeted to the mitochondrion, also referred to as ClpB-m.  Transcripts of ClpB4 accumulate dramatically at high temperatures, suggesting that it may be involved in response to heat stress.
Ha412HOChr05g00015491	***	ns	ns	****	****	****	Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)
Ha412HOChr05g00015492	****	****	****	****	****	****	No TAIR Homolog
Ha412HOChr05g00015494	ns	ns	ns	****	ns	ns	microtubule-associated futsch-like protein;(source:Araport11)
Ha412HOChr05g00015506	****	****	****	****	****	****	Component of R gene-mediated disease resistance in Arabidopsis thaliana with homology to eukaryotic lipases.
Ha412HOChr05g00015508	**	****	****	ns	ns	ns	Component of R gene-mediated disease resistance in Arabidopsis thaliana with homology to eukaryotic lipases.
Ha412HOChr05g00015512	ns	ns	ns	ns	**	ns	anaphase-promoting complex or cyclosome subunit
Ha412HOChr05g00015519	**	**	ns	**	****	**	Xanthine/uracil permease family protein;(source:Araport11)
Ha412HOChr05g00015520	****	****	****	****	****	****	No TAIR Homolog
Ha412HOChr05g00015521	*	ns	****	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00015525	ns	****	ns	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00015527	****	ns	ns	****	ns	ns	TRP-like ion channel protein (Protein of unknown function, DUF599);(source:Araport11)
